Sr. No.,Remitter Bank,Total Volume,Approved%,BD%,TD%,Year,Month,Remitter Bank Clean,Bank_Type,TD_Percent,BD_Percent,Approved_Percent
40,The Ahmedabad Mercantile Co-operative Bank Limited,5,1.0,0.0,0.0,2022,july,the ahmedabad mercantile co-operative bank limited,Other/Cooperative,0.0,0.0,100.0
41,Karnataka Bank Limited,4,1.0,0.0,0.0,2022,july,karnataka bank limited,Other/Cooperative,0.0,0.0,100.0
42,Dhanlaxmi Bank Limited,4,1.0,0.0,0.0,2022,july,dhanlaxmi bank limited,Other/Cooperative,0.0,0.0,100.0
43,Janata Sahakari Bank Ltd,2,1.0,0.0,0.0,2022,july,janata sahakari bank ltd,Other/Cooperative,0.0,0.0,100.0
44,The Jammu & Kashmir Bank Ltd,1,1.0,0.0,0.0,2022,july,the jammu & kashmir bank ltd,Other/Cooperative,0.0,0.0,100.0
1,State Bank Of India,232551,0.8970999999999999,0.0951,0.0078,2022,december,state bank of india,Public Sector,0.7799999999999999,9.51,89.71
2,HDFC BANK LTD,136431,0.9361,0.0576,0.0063,2022,december,hdfc bank ltd,Other/Cooperative,0.63,5.76,93.61
3,ICICI Bank,93079,0.9592,0.0389,0.0019,2022,december,icici bank,Private Sector,0.19,3.8899999999999997,95.92
4,Bank of Baroda,89406,0.8194,0.0668,0.1138,2022,december,bank of baroda,Public Sector,11.379999999999999,6.68,81.94
5,Axis Bank Ltd.,58017,0.9389,0.0581,0.003,2022,december,axis bank ltd.,Other/Cooperative,0.3,5.81,93.89
6,Punjab National Bank,38751,0.9222,0.0742,0.0036,2022,december,punjab national bank,Public Sector,0.36,7.42,92.22
7,Bank of India,36243,0.9339,0.0642,0.0019,2022,december,bank of india,Public Sector,0.19,6.419999999999999,93.39
8,Kotak Mahindra Bank,34765,0.9332,0.0645,0.0023,2022,december,kotak mahindra bank,Private Sector,0.22999999999999998,6.45,93.32000000000001
9,Union Bank of India,32878,0.923,0.0685,0.0085,2022,december,union bank of india,Public Sector,0.8500000000000001,6.8500000000000005,92.30000000000001
10,Canara Bank,19453,0.9207,0.0754,0.0039,2022,december,canara bank,Public Sector,0.38999999999999996,7.539999999999999,92.07
11,IDBI Bank Limited,16609,0.9029,0.0523,0.0448,2022,december,idbi bank limited,Public Sector,4.4799999999999995,5.2299999999999995,90.29
12,Central Bank Of India,18937,0.6165999999999999,0.0412999999999999,0.3421,2022,december,central bank of india,Public Sector,34.21,4.12999999999999,61.65999999999999
13,INDUSIND BANK,8665,0.9248,0.0711,0.0041,2022,december,indusind bank,Private Sector,0.41000000000000003,7.109999999999999,92.47999999999999
14,Indian Bank,8969,0.8946999999999999,0.0986,0.0067,2022,december,indian bank,Public Sector,0.67,9.86,89.47
15,IDFC FIRST Bank,7368,0.9026,0.0808,0.0166,2022,december,idfc first bank,Private Sector,1.66,8.08,90.25999999999999
16,Yes Bank Ltd,7902,0.7293999999999999,0.2693,0.0013,2022,december,yes bank ltd,Other/Cooperative,0.13,26.93,72.94
17,UCO Bank,6288,0.8731,0.0941,0.0327999999999999,2022,december,uco bank,Public Sector,3.27999999999999,9.41,87.31
18,Bank of Maharashtra,5433,0.9142,0.0714,0.0144,2022,december,bank of maharashtra,Public Sector,1.44,7.140000000000001,91.42
19,The Mehsana Urban Co-Operative Bank Ltd.,5089,0.9069,0.0902,0.0029,2022,december,the mehsana urban co-operative bank ltd.,Other/Cooperative,0.29,9.02,90.69
20,Indian Overseas Bank,4365,0.9093,0.0866,0.0041,2022,december,indian overseas bank,Public Sector,0.41000000000000003,8.66,90.93
21,Citibank,4276,0.8658,0.1338,0.0004,2022,december,citibank,Other/Cooperative,0.04,13.38,86.58
22,Rajkot Nagrik Sahakari Bank Ltd.,3638,0.9445,0.0506,0.0049,2022,december,rajkot nagrik sahakari bank ltd.,Other/Cooperative,0.49,5.06,94.45
23,AU Small Finance bank,3576,0.9169,0.0761,0.007,2022,december,au small finance bank,Other/Cooperative,0.7000000000000001,7.61,91.69
24,Federal Bank,3414,0.8740000000000001,0.1253999999999999,0.0006,2022,december,federal bank,Private Sector,0.06,12.53999999999999,87.4
